New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Taxon	Disease	Host Taxon	Cotyledons	Tissue	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	CAS Registry IDs	ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Host Response	Experiment Specifications	Curators	Approver	Species Experts	PubMed IDs	Curation Date
PHI:I203	PHI:220	Q9HFU4	MAN1	MAN1;CNI02370	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	AF291701;AE017349	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	10090:Mus musculus (house mouse) 	n\a		GO:0009298:cell wall mannoprotein biosynthetic process [GO:0000032]; GO:0000032: cytosol [GO:0005829]; GO:0005829: GDP-mannose biosynthetic process [GO:0009298]; GO:0004476: mannose-6-phosphate isomerase activity [GO:0004476]; GO:0005634: nucleus [GO:0005634]; GO:0006486: protein glycosylation [GO:0006486]; GO:0008270: zinc ion binding [GO:0008270]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			11359567: Wills EA, Roberts IS, Del Poeta M, Rivera J, Casadevall A, Cox GM, Perfect JR. (2001). "Identification and characterization of the Cryptococcus neoformans phosphomannose isomerase-encoding gene, MAN1, and its impact on pathogenicity." Mol Microbiol 40(3): 610-620. 10.1046/j.1365-2958.2001.02401.x.	2015-04-18
PHI:I204	PHI:220	Q9HFU4	MAN1	MAN1;CNI02370	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	AF291701;AE017349	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	9986:Oryctolagus cuniculus (rabbit) 	n\a		GO:0009298:cell wall mannoprotein biosynthetic process [GO:0000032]; GO:0000032: cytosol [GO:0005829]; GO:0005829: GDP-mannose biosynthetic process [GO:0009298]; GO:0004476: mannose-6-phosphate isomerase activity [GO:0004476]; GO:0005634: nucleus [GO:0005634]; GO:0006486: protein glycosylation [GO:0006486]; GO:0008270: zinc ion binding [GO:0008270]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			11359567: Wills EA, Roberts IS, Del Poeta M, Rivera J, Casadevall A, Cox GM, Perfect JR. (2001). "Identification and characterization of the Cryptococcus neoformans phosphomannose isomerase-encoding gene, MAN1, and its impact on pathogenicity." Mol Microbiol 40(3): 610-620. 10.1046/j.1365-2958.2001.02401.x.	2015-04-18
PHI:I205	PHI:222	O59939	PELB	PLB	Pectate lyase B (EC 4.2.2.2)	AF052632	5457:Glomerella cingulata		3435:Persea americana (avocado) 	n\a		GO:0005576:extracellular region [GO:0005576]; GO:0046872: metal ion binding [GO:0046872]; GO:0009405: pathogenesis [GO:0009405]; GO:0030570: pectate lyase activity [GO:0030570]; GO:0045490: pectin catabolic process [GO:0045490]	GO:0009405(IMP):pathogenesis;GO:0044412:growth or development of symbiont in host	POO:0000002:reduced virulence	Pre-penetration:No													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research;John Keon			11497471: Yakoby N, Beno-Moualem D, Keen NT, Dinoor A, Pines O, Prusky D. (2001). "Colletotrichum gloeosporioides pelB is an important virulence factor in avocado fruit-fungus interaction." Mol Plant Microbe Interact 14(8): 988-995. 10.1094/mpmi.2001.14.8.988.	2015-04-18
PHI:I206	PHI:223	Q9C441	PEP1	PEP1	PEP1	AF294788	140110:Nectria haematococca		3888:Pisum sativum (pea) 	Dicot			GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence														ESO:0000006:functional test in host organism	Thomas Baldwin			11208022: Han Y, Liu X, Benny U, Kistler HC, VanEtten HD. (2001). "Genes determining pathogenicity to pea are clustered on a supernumerary chromosome in the fungal plant pathogen Nectria haematococca." Plant J 25(3): 305-314. 10.1046/j.1365-313x.2001.00969.x.;12925899: Liu X, Inlow M, VanEtten HD. (2003). "Expression profiles of pea pathogenicity ( PEP) genes in vivo and in vitro, characterization of the flanking regions of the PEP cluster and evidence that the PEP cluster region resulted from horizontal gene transfer in the fungal pathogen Nectria haematococca." Curr Genet 44(2): 95-103. 10.1007/s00294-003-0428-x.	2015-04-18
PHI:I207	PHI:224	Q9C1K0	PEP2	PEP2	Pea pathogenicity protein 2	AF294788;AF315805	140110:Nectria haematococca		3888:Pisum sativum (pea) 	Dicot			GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence														ESO:0000006:functional test in host organism	Thomas Baldwin			11208022: Han Y, Liu X, Benny U, Kistler HC, VanEtten HD. (2001). "Genes determining pathogenicity to pea are clustered on a supernumerary chromosome in the fungal plant pathogen Nectria haematococca." Plant J 25(3): 305-314. 10.1046/j.1365-313x.2001.00969.x.;12925899: Liu X, Inlow M, VanEtten HD. (2003). "Expression profiles of pea pathogenicity ( PEP) genes in vivo and in vitro, characterization of the flanking regions of the PEP cluster and evidence that the PEP cluster region resulted from horizontal gene transfer in the fungal pathogen Nectria haematococca." Curr Genet 44(2): 95-103. 10.1007/s00294-003-0428-x.	2015-04-18
PHI:I208	PHI:225	Q9C0P7	PEP5	PEP5	PEP5 (Putative drug facilitator)	AF315315;AF315808	140110:Nectria haematococca		3888:Pisum sativum (pea) 	Dicot		GO:0016021:integral component of membrane [GO:0016021]; GO:0055085: transmembrane transport [GO:0055085]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence														ESO:0000006:functional test in host organism	Thomas Baldwin			11208022: Han Y, Liu X, Benny U, Kistler HC, VanEtten HD. (2001). "Genes determining pathogenicity to pea are clustered on a supernumerary chromosome in the fungal plant pathogen Nectria haematococca." Plant J 25(3): 305-314. 10.1046/j.1365-313x.2001.00969.x.;12925899: Liu X, Inlow M, VanEtten HD. (2003). "Expression profiles of pea pathogenicity ( PEP) genes in vivo and in vitro, characterization of the flanking regions of the PEP cluster and evidence that the PEP cluster region resulted from horizontal gene transfer in the fungal pathogen Nectria haematococca." Curr Genet 44(2): 95-103. 10.1007/s00294-003-0428-x.	2015-04-18
PHI:I209	PHI:226	Q9C1E9	PEX6	PEX6;Cob_00508	Peroxisomal biogenesis factor 6 (ClaPEX6) (Peroxin-6)	AF343063;KB725690	5462:Colletotrichum lagenaria		3659:Cucumis sativus (cucumber) 	Dicot		GO:0005524:ATPase activity [GO:0016887]; GO:0016887: ATP binding [GO:0005524]; GO:0005829: cytosol [GO:0005829]; GO:0005634: nucleus [GO:0005634]; GO:0005777: peroxisome [GO:0005777]; GO:0016562: protein import into peroxisome matrix, receptor recycling [GO:0016562]; GO:0001302: replicative cell aging [GO:0001302]	GO:0006631(IMP):fatty acid metabolic process;GO:0009405(IMP):pathogenesis;GO:0044409(IMP):entry into host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:Yes													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research			11487704: Kimura A, Takano Y, Furusawa I, Okuno T. (2001). "Peroxisomal metabolic function is required for appressorium-mediated plant infection by Colletotrichum lagenarium." Plant Cell 13(8): 1945-1957. 10.1105/tpc.13.8.1945.	2015-04-18
PHI:I210	PHI:227	Q9HFW0	PKA1	PKA1	CAMP dependent protein kinase catalytic subunit	AF288613	178876:Cryptococcus neoformans var. grubii	DOID:12053:cryptococcosis	7137:Galleria mellonella (greater wax moth) 	n\a		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Sabrina Holland;Kim Hammond-Kosack,Rothamsted Research			15972469: Mylonakis E, Moreno R, El Khoury JB, Idnurm A, Heitman J, Calderwood SB, Ausubel FM, Diener A. (2005). "Galleria mellonella as a model system to study Cryptococcus neoformans pathogenesis." Infect Immun 73(7): 3842-3850. 10.1128/iai.73.7.3842-3850.2005.	2015-04-18
PHI:I211	PHI:227	Q9HFW0	PKA1	PKA1	CAMP dependent protein kinase catalytic subunit	AF288613	178876:Cryptococcus neoformans var. grubii	DOID:12053:cryptococcosis	6239:Caenorhabditis elegans	n\a		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin;Sabrina Holland			12438649: Mylonakis E, Ausubel FM, Perfect JR, Heitman J, Calderwood SB. (2002). "Killing of Caenorhabditis elegans by Cryptococcus neoformans as a model of yeast pathogenesis." Proc Natl Acad Sci U S A 99(24): 15675-15680. 10.1073/pnas.232568599.	2015-04-18
PHI:I212	PHI:227	Q9HFW0	PKA1	PKA1	CAMP dependent protein kinase catalytic subunit	AF288613	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	10090:Mus musculus (house mouse) 	n\a		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity															Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			11287622: D'Souza CA, Alspaugh JA, Yue C, Harashima T, Cox GM, Perfect JR, Heitman J. (2001). "Cyclic AMP-dependent protein kinase controls virulence of the fungal pathogen Cryptococcus neoformans." Mol Cell Biol 21(9): 3179-3191. 10.1128/mcb.21.9.3179-3191.2001.	2015-04-18
PHI:I213	PHI:227	Q9HFW0	PKA1	PKA1	CAMP dependent protein kinase catalytic subunit	AF288613	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	9986:Oryctolagus cuniculus (rabbit) 	n\a		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity															Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			11287622: D'Souza CA, Alspaugh JA, Yue C, Harashima T, Cox GM, Perfect JR, Heitman J. (2001). "Cyclic AMP-dependent protein kinase controls virulence of the fungal pathogen Cryptococcus neoformans." Mol Cell Biol 21(9): 3179-3191. 10.1128/mcb.21.9.3179-3191.2001.	2015-04-18
PHI:I214	PHI:227	Q9HFW0	PKA1	PKA1	CAMP dependent protein kinase catalytic subunit	AF288613	178876:Cryptococcus neoformans var. grubii	DOID:12053:cryptococcosis	7227:Drosophila melanogaster (fruit fly) 	n\a		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Sabrina Holland;Kim Hammond-Kosack,Rothamsted Research			15075271: Apidianakis Y, Rahme LG, Heitman J, Ausubel FM, Calderwood SB, Mylonakis E. (2004). "Challenge of Drosophila melanogaster with Cryptococcus neoformans and role of the innate immune response." Eukaryot Cell 3(2): 413-419. 10.1128/ec.3.2.413-419.2004.	2015-04-18
PHI:I215	PHI:228	Q9P8P2	PLB1	PLB1;CNAG_06085	Phospholipase B (EC 3.1.1.5) (Lysophospholipase)	AF223383;CP003831	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	10090:Mus musculus (house mouse) 	n\a		GO:0005576:extracellular region [GO:0005576]; GO:0004622: lysophospholipase activity [GO:0004622]; GO:0009395: phospholipid catabolic process [GO:0009395]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			11123698: Cox GM, McDade HC, Chen SC, Tucker SC, Gottfredsson M, Wright LC, Sorrell TC, Leidich SD, Casadevall A, Ghannoum MA, Perfect JR. (2001). "Extracellular phospholipase activity is a virulence factor for Cryptococcus neoformans." Mol Microbiol 39(1): 166-175. 10.1046/j.1365-2958.2001.02236.x.;12595473: Noverr MC, Cox GM, Perfect JR, Huffnagle GB. (2003). "Role of PLB1 in pulmonary inflammation and cryptococcal eicosanoid production." Infect Immun 71(3): 1538-1547. 10.1128/iai.71.3.1538-1547.2003.;15039347: Santangelo R, Zoellner H, Sorrell T, Wilson C, Donald C, Djordjevic J, Shounan Y, Wright L. (2004). "Role of extracellular phospholipases and mononuclear phagocytes in dissemination of cryptococcosis in a murine model." Infect Immun 72(4): 2229-2239. 10.1128/iai.72.4.2229-2239.2004.	2015-04-18
PHI:I216	PHI:228	Q9P8P2	PLB1	PLB1;CNAG_06085	Phospholipase B (EC 3.1.1.5) (Lysophospholipase)	AF223383;CP003831	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	9986:Oryctolagus cuniculus (rabbit) 	n\a		GO:0005576:extracellular region [GO:0005576]; GO:0004622: lysophospholipase activity [GO:0004622]; GO:0009395: phospholipid catabolic process [GO:0009395]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			11123698: Cox GM, McDade HC, Chen SC, Tucker SC, Gottfredsson M, Wright LC, Sorrell TC, Leidich SD, Casadevall A, Ghannoum MA, Perfect JR. (2001). "Extracellular phospholipase activity is a virulence factor for Cryptococcus neoformans." Mol Microbiol 39(1): 166-175. 10.1046/j.1365-2958.2001.02236.x.;15039347: Santangelo R, Zoellner H, Sorrell T, Wilson C, Donald C, Djordjevic J, Shounan Y, Wright L. (2004). "Role of extracellular phospholipases and mononuclear phagocytes in dissemination of cryptococcosis in a murine model." Infect Immun 72(4): 2229-2239. 10.1128/iai.72.4.2229-2239.2004.	2015-04-18
PHI:I217	PHI:230	Q96X31	PTK1	ptk1	Mitogen-activated protein kinase (EC 2.7.11.24)	AF272831	53485:Pyrenophora teres		112509:Hordeum vulgare subsp. vulgare (domesticated barley) 	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004707: MAP kinase activity [GO:0004707]	GO:0030437(IMP):ascospore formation;GO:0009405(IMP):pathogenesis;GO:0044409(IMP):entry into host;GO:0044412(IMP):growth or development of symbiont in host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:Yes;Vegetative Spores:No;In Vitro Growth:Reduced													ESO:0000001:gene disruption	Martin Urban,Rothamsted Research			11204774: Ruiz-Roldán MC, Maier FJ, Schäfer W. (2001). "PTK1, a mitogen-activated-protein kinase gene, is required for conidiation, appressorium formation, and pathogenicity of Pyrenophora teres on barley." Mol Plant Microbe Interact 14(2): 116-125. 10.1094/mpmi.2001.14.2.116.	2015-04-18
PHI:I218	PHI:231	Q9C1C2	RPK1	PKAR;RPK1;Cob_09468	cAMP-dependent protein kinase regulatory subunit (PKA regulatory subunit)	AF353397;KB725947	5462:Colletotrichum lagenaria		3659:Cucumis sativus (cucumber) 	Dicot		GO:0030552:cAMP binding [GO:0030552]; GO:0005952: cAMP-dependent protein kinase complex [GO:0005952]; GO:0004862: cAMP-dependent protein kinase inhibitor activity [GO:0004862]; GO:0008603: cAMP-dependent protein kinase regulator activity [GO:0008603]; GO:0005829: cytosol [GO:0005829]; GO:0046580: negative regulation of meiotic cell cycle [GO:0051447]; GO:0051447: negative regulation of Ras protein signal transduction [GO:0046580]; GO:0005730: nucleolus [GO:0005730]; GO:0005886: plasma membrane [GO:0005886]; GO:0045762: positive regulation of adenylate cyclase activity [GO:0045762]; GO:0036279: positive regulation of protein export from nucleus in response to glucose starvation [GO:0036279]; GO:0097271: protein localization to bud neck [GO:0097271]	GO:0009405(IMP):pathogenesis;GO:0044409:entry into host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:No													ESO:0000002:gene deletion	Thomas Baldwin			11605954: Takano Y, Komeda K, Kojima K, Okuno T. (2001). "Proper regulation of cyclic AMP-dependent protein kinase is required for growth, conidiation, and appressorium function in the anthracnose fungus Colletotrichum lagenarium." Mol Plant Microbe Interact 14(10): 1149-1157. 10.1094/mpmi.2001.14.10.1149.	2015-04-18
PHI:I219	PHI:232	Q9C1R5	STE12a	STE12a	STE12a	AF242352	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	10090:Mus musculus (house mouse) 	n\a		GO:0046872:metal ion binding [GO:0046872]; GO:0003676: nucleic acid binding [GO:0003676]; GO:0005634: nucleus [GO:0005634]; GO:0003700: sequence-specific DNA binding transcription factor activity [GO:0003700]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			11248066: Chang YC, Penoyer LA, Kwon-Chung KJ. (2001). "The second STE12 homologue of Cryptococcus neoformans is MATa-specific and plays an important role in virulence." Proc Natl Acad Sci U S A 98(6): 3258-3263. 10.1073/pnas.061031998.	2015-04-18
PHI:I220	PHI:233	O74205	TOXE	TOXE	Transcription factor TOXE	AF038874	5017:Bipolaris zeicola		4577:Zea mays	Monocot		GO:0005634:nucleus [GO:0005634]; GO:0045893: positive regulation of transcription, DNA-templated [GO:0045893]; GO:0006355: regulation of transcription, DNA-templated [GO:0006355]; GO:0043565: sequence-specific DNA binding [GO:0043565]; GO:0003700: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:0009403: toxin biosynthetic process [GO:0009403]; GO:0006351: transcription, DNA-templated [GO:0006351]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence														ESO:0000001:gene disruption	Martin Urban,Rothamsted Research;John Antoniw			11698648: Pedley KF, Walton JD. (2001). "Regulation of cyclic peptide biosynthesis in a plant pathogenic fungus by a novel transcription factor." Proc Natl Acad Sci U S A 98(24): 14174-14179. 10.1073/pnas.231491298.;9894916: Ahn JH, Walton JD. (1998). "Regulation of cyclic peptide biosynthesis and pathogenicity in Cochliobolus carbonum by TOXEp, a novel protein with a bZIP basic DNA-binding motif and four ankyrin repeats." Mol Gen Genet 260(5): 462-469. 10.1007/s004380050917.	2015-04-18
PHI:I221	PHI:234	Q96X32	UBC2	ubc2	MAP kinase pathway-interacting Ubc2	AF268070	5270:Ustilago maydis		4577:Zea mays	Monocot		GO:0016301:kinase activity [GO:0016301]; GO:0007165: signal transduction [GO:0007165]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin			11580841: Mayorga ME, Gold SE. (2001). "The ubc2 gene of Ustilago maydis encodes a putative novel adaptor protein required for filamentous growth, pheromone response and virulence." Mol Microbiol 41(6): 1365-1379. 10.1046/j.1365-2958.2001.02606.x.	2015-04-18
PHI:I222	PHI:235	Q96WM3	VPH1	VPH1	V-type proton ATPase subunit a	AF254790	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	10090:Mus musculus (house mouse) 	n\a		GO:0015991:ATP hydrolysis coupled proton transport [GO:0015991]; GO:0015078: hydrogen ion transmembrane transporter activity [GO:0015078]; GO:0016021: integral component of membrane [GO:0016021]; GO:0000220: vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			11737651: Erickson T, Liu L, Gueyikian A, Zhu X, Gibbons J, Williamson PR. (2001). "Multiple virulence factors of Cryptococcus neoformans are dependent on VPH1." Mol Microbiol 42(4): 1121-1131. 10.1046/j.1365-2958.2001.02712.x.;12581355: Zhu X, Gibbons J, Zhang S, Williamson PR. (2003). "Copper-mediated reversal of defective laccase in a Deltavph1 avirulent mutant of Cryptococcus neoformans." Mol Microbiol 47(4): 1007-1014. 10.1046/j.1365-2958.2003.03340.x.	2015-04-18
PHI:I223	PHI:236;PHI:237	P30601;P30602	WdCHS2;WdCHS3	CHS2;CHS3	Chitin synthase 2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 2) (Class-I chitin synthase 2);Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-III chitin synthase 3)	AF052606;M81906;AF053314;M81907	5970:Exophiala dermatitidis	DOID:14049:phaeohyphomycosis	10090:Mus musculus (house mouse) 	n\a		GO:0071555:cell wall organization [GO:0071555]; GO:0006031: chitin biosynthetic process [GO:0006031]; GO:0004100: chitin synthase activity [GO:0004100]; GO:0016021: integral component of membrane [GO:0016021]; GO:0005886: plasma membrane [GO:0005886];GO:0071555:cell wall organization [GO:0071555]; GO:0006031: chitin biosynthetic process [GO:0006031]; GO:0004100: chitin synthase activity [GO:0004100]; GO:0016021: integral component of membrane [GO:0016021]; GO:0005886: plasma membrane [GO:0005886]	GO:0009405(IGI):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin			11705928: Wang Z, Zheng L, Liu H, Wang Q, Hauser M, Kauffman S, Becker JM, Szaniszlo PJ. (2001). "WdChs2p, a class I chitin synthase, together with WdChs3p (class III) contributes to virulence in Wangiella (Exophiala) dermatitidis." Infect Immun 69(12): 7517-7526. 10.1128/iai.69.12.7517-7526.2001.	2015-04-18
PHI:I224	PHI:238	Q9Y7A7	WdPKS1	PKS1	Type I polyketide synthase	AF130309	5970:Exophiala dermatitidis	DOID:14049:phaeohyphomycosis	10090:Mus musculus (house mouse) 	n\a		GO:0009058:biosynthetic process [GO:0009058]; GO:0016788: hydrolase activity, acting on ester bonds [GO:0016788]; GO:0016740: transferase activity [GO:0016740]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin			11179356: Feng B, Wang X, Hauser M, Kaufmann S, Jentsch S, Haase G, Becker JM, Szaniszlo PJ. (2001). "Molecular cloning and characterization of WdPKS1, a gene involved in dihydroxynaphthalene melanin biosynthesis and virulence in Wangiella (Exophiala) dermatitidis." Infect Immun 69(3): 1781-1794. 10.1128/iai.69.3.1781-1794.2001.	2015-04-18
PHI:I225	PHI:239	G1UAJ9	ASH1	ASH1	Zinc-finger transcription factor	AF237674	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a		GO:0043565:sequence-specific DNA binding [GO:0043565]; GO:0003700: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:0008270: zinc ion binding [GO:0008270]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin			12446785: Inglis DO, Johnson AD. (2002). "Ash1 protein, an asymmetrically localized transcriptional regulator, controls filamentous growth and virulence of Candida albicans." Mol Cell Biol 22(24): 8669-8680. 10.1128/mcb.22.24.8669-8680.2002.	2015-04-18
PHI:I226	PHI:241	Q9C443	CAC1	CAC1	Adenylate cyclase	AF290191	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	10090:Mus musculus (house mouse) 	n\a		GO:0004016:adenylate cyclase activity [GO:0004016]; GO:0035556: intracellular signal transduction [GO:0035556]; GO:0000287: magnesium ion binding [GO:0000287]	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity	In Vitro Growth:Wild Type														Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			12455973: Alspaugh JA, Pukkila-Worley R, Harashima T, Cavallo LM, Funnell D, Cox GM, Perfect JR, Kronstad JW, Heitman J. (2002). "Adenylyl cyclase functions downstream of the Galpha protein Gpa1 and controls mating and pathogenicity of Cryptococcus neoformans." Eukaryot Cell 1(1): 75-84. 10.1128/ec.1.1.75-84.2002.	2015-04-18
PHI:I227	PHI:241	Q9C443	CAC1	CAC1	Adenylate cyclase	AF290191	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	9986:Oryctolagus cuniculus (rabbit) 	n\a		GO:0004016:adenylate cyclase activity [GO:0004016]; GO:0035556: intracellular signal transduction [GO:0035556]; GO:0000287: magnesium ion binding [GO:0000287]	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity	In Vitro Growth:Wild Type														Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research			12455973: Alspaugh JA, Pukkila-Worley R, Harashima T, Cavallo LM, Funnell D, Cox GM, Perfect JR, Kronstad JW, Heitman J. (2002). "Adenylyl cyclase functions downstream of the Galpha protein Gpa1 and controls mating and pathogenicity of Cryptococcus neoformans." Eukaryot Cell 1(1): 75-84. 10.1128/ec.1.1.75-84.2002.	2015-04-18
PHI:I228	PHI:242	G1UAE0	CaTPS2	TPS2	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)	AJ242990	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a		GO:0005992:trehalose biosynthetic process [GO:0005992]; GO:0004805: trehalose-phosphatase activity [GO:0004805]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence															Thomas Baldwin			11895938: Van Dijck P, De Rop L, Szlufcik K, Van Ael E, Thevelein JM. (2002). "Disruption of the Candida albicans TPS2 gene encoding trehalose-6-phosphate phosphatase decreases infectivity without affecting hypha formation." Infect Immun 70(4): 1772-1782. 10.1128/iai.70.4.1772-1782.2002.;11988502: Zaragoza O, de Virgilio C, Pontón J, Gancedo C. (2002). "Disruption in Candida albicans of the TPS2 gene encoding trehalose-6-phosphate phosphatase affects cell integrity and decreases infectivity." Microbiology 148(pt 5): 1281-1290. .	2015-04-18
PHI:I229	PHI:243	O93841	CHIP6	chip6	CHIP6 (Fragment)	AF001285	5457:Glomerella cingulata		3435:Persea americana (avocado) 	n\a		GO:0030259:lipid glycosylation [GO:0030259]; GO:0016758: transferase activity, transferring hexosyl groups [GO:0016758]	GO:0009405(IMP):pathogenesis;GO:0044409:entry into host	POO:0000002:reduced virulence	Penetration:Yes;Pre-penetration:No;In Vitro Growth:Wild Type;Vegetative Spores:Wild Type													ESO:0000002:gene deletion	Thomas Baldwin;John Keon			12000454: Kim YK, Wang Y, Liu ZM, Kolattukudy PE. (2002). "Identification of a hard surface contact-induced gene in Colletotrichum gloeosporioides conidia as a sterol glycosyl transferase, a novel fungal virulence factor." Plant J 30(2): 177-187. 10.1046/j.1365-313x.2002.01284.x.	2015-04-18
PHI:I230	PHI:244	Q8J286	CLAP1	CLAP1	CLAP1	AF494193	290576:Colletotrichum lindemuthianum		3885:Phaseolus vulgaris	Dicot		GO:0005524:ATP binding [GO:0005524]; GO:0019829: cation-transporting ATPase activity [GO:0019829]; GO:0005507: copper ion binding [GO:0005507]; GO:0016021: integral component of membrane [GO:0016021]; GO:0030001: metal ion transport [GO:0030001]	GO:0009405(IMP):pathogenesis;GO:0044409:entry into host;GO:0044412:growth or development of symbiont in host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:Yes													ESO:0000002:gene deletion	Thomas Baldwin;John Keon			12395188: Parisot D, Dufresne M, Veneault C, Laugé R, Langin T. (2002). "clap1, a gene encoding a copper-transporting ATPase involved in the process of infection by the phytopathogenic fungus Colletotrichum lindemuthianum." Mol Genet Genomics 268(2): 139-151. 10.1007/s00438-002-0744-8.	2015-04-18
PHI:I231	PHI:245	Q96VL1	CPMK1	mk1	Mitogen-activated protein kinase (EC 2.7.11.24)	AJ318517	5111:Claviceps purpurea		4550:Secale cereale (rye) 	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004707: MAP kinase activity [GO:0004707]	GO:0009405(IMP):pathogenesis;GO:0044409:entry into host;GO:0044412:growth or development of symbiont in host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:No														Martin Urban,Rothamsted Research;Alayne Cuzick,Rothamsted Research			12026168: Mey G, Oeser B, Lebrun MH, Tudzynski P. (2002). "The biotrophic, non-appressorium-forming grass pathogen Claviceps purpurea needs a Fus3/Pmk1 homologous mitogen-activated protein kinase for colonization of rye ovarian tissue." Mol Plant Microbe Interact 15(4): 303-312. 10.1094/mpmi.2002.15.4.303.	2015-04-18
