PHI-base accession no	PHI-base accession	DB_Type	Accession	Locus ID	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Literature ID	Literature source	DOI	Comments
1741	PHI:1741	Uniprot	I1S780	FGSG_12703	PH-1	GzZC056			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1742	PHI:1742	Uniprot	I1S7H5	FGSG_12798	PH-1	GzZC057			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1743	PHI:1743	Uniprot	I1S8J4	FGSG_13172	PH-1	GzZC058			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1744	PHI:1744	Uniprot	I1RX18	FGSG_08861	PH-1	GzZC059			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1745	PHI:1745	Uniprot	I1RWX2	FGSG_08808	PH-1	GzZC060			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1746	PHI:1746	Uniprot	I1RWV5	FGSG_08791	PH-1	GzZC061			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1747	PHI:1747	Uniprot	I1S6W1	FGSG_12584	PH-1	GzZC062			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1748	PHI:1748	Uniprot	I1S6Q5	FGSG_12528	PH-1	GzZC063			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1749	PHI:1749	Uniprot	I1S4A5	FGSG_11672	PH-1	GzZC064			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1750	PHI:1750	Uniprot	I1S487	FGSG_11654	PH-1	GzZC065			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1751	PHI:1751	Uniprot	I1RZ96	FGSG_09726	PH-1	GzZC066			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1752	PHI:1752	Uniprot	I1RZR8	FGSG_09921	PH-1	GzZC067			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1753	PHI:1753	Uniprot	I1RZN4	FGSG_09884	PH-1	GzZC068			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1754	PHI:1754	Uniprot	I1S1D6	FGSG_10536	PH-1	GzZC069			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1755	PHI:1755	Uniprot	I1S1A5	FGSG_10505	PH-1	GzZC070			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1756	PHI:1756	Uniprot	I1S4Q3	FGSG_11821	PH-1	GzZC071			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1757	PHI:1757	Uniprot	I1RYY1	FGSG_09594	PH-1	GzZC072			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1758	PHI:1758	Uniprot	I1RXV2	FGSG_09178	PH-1	GzZC073			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1759	PHI:1759	Uniprot	I1RXS2	FGSG_09147	PH-1	GzZC074			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1760	PHI:1760	Uniprot	I1RXP9	FGSG_09123	PH-1	GzZC075			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1761	PHI:1761	Uniprot	I1RXN7	FGSG_09111	PH-1	GzZC076			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1762	PHI:1762	Uniprot	I1RXJ4	FGSG_09065	PH-1	GzZC077			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1763	PHI:1763	Uniprot	I1RXE8	FGSG_09014	PH-1	GzZC078			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1764	PHI:1764	Uniprot	Q4I0C5	FGSG_09333	PH-1	GzZC079			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1765	PHI:1765	Uniprot	I1RY91	FGSG_09331	PH-1	GzZC080			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1766	PHI:1766	Uniprot	I1S160	FGSG_10458	PH-1	GzZC081			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1767	PHI:1767	Uniprot	I1S134	FGSG_10429	PH-1	GzZC082			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1768	PHI:1768	Uniprot	I1RAN6	FGSG_00568	PH-1	GzZC083			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1769	PHI:1769	Uniprot	I1RXB2	FGSG_08972	PH-1	GzZC084			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1770	PHI:1770	Uniprot	I1RX79	FGSG_08930	PH-1	GzZC085			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1771	PHI:1771	Uniprot	I1RX74	FGSG_08924	PH-1	GzZC086			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					reduced	wild type	reduced						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1772	PHI:1772	Uniprot	I1S053	FGSG_10069	PH-1	GzZC087			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Reduced virulence					reduced	defective	reduced						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1773	PHI:1773	Uniprot	I1S409	FGSG_11561	PH-1	GzZC088			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					reduced	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1774	PHI:1774	Uniprot	I1S3Z9	FGSG_11551	PH-1	GzZC089			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1775	PHI:1775	Uniprot	I1S5X3	FGSG_12244	PH-1	GzZC090			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1776	PHI:1776	Uniprot	I1S0X3	FGSG_10364	PH-1	GzZC091			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1777	PHI:1777	Uniprot	I1S2U0	FGSG_11093	PH-1	GzZC092			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1778	PHI:1778	Uniprot	I1S353	FGSG_11218	PH-1	GzZC093			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1779	PHI:1779	Uniprot	I1S325	FGSG_11186	PH-1	GzZC094			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1780	PHI:1780	Uniprot	I1S396	FGSG_11271	PH-1	GzZC095			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1781	PHI:1781	Uniprot	I1S389	FGSG_11262	PH-1	GzZC096			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1782	PHI:1782	Uniprot	I1S3H4	FGSG_11356	PH-1	GzZC097			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1783	PHI:1783	Uniprot	I1S2C5	FGSG_10914	PH-1	GzZC098			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1784	PHI:1784	Uniprot	I1S2A9	FGSG_10895	PH-1	GzZC099			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1785	PHI:1785	Uniprot	I1S231	FGSG_10812	PH-1	GzZC100			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1786	PHI:1786	Uniprot	I1S1Q9	FGSG_10674	PH-1	GzZC101			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1787	PHI:1787	Uniprot	I1S1P9	FGSG_10660	PH-1	GzZC102			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1788	PHI:1788	Uniprot	I1S1N1	FGSG_10639	PH-1	GzZC103			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1789	PHI:1789	Uniprot	I1RVU7	FGSG_08392	PH-1	GzZC104			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1790	PHI:1790	Uniprot	I1RVT7	FGSG_08380	PH-1	GzZC105			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1791	PHI:1791	Uniprot	I1RVN8	FGSG_08321	PH-1	GzZC106			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1792	PHI:1792	Uniprot	I1RVS7	FGSG_08369	PH-1	GzZC107			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1793	PHI:1793	Uniprot	I1RWT7	FGSG_08769	PH-1	GzZC108			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Reduced virulence					wild type	defective	reduced						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1794	PHI:1794	NULL	FGSG_08626	FGSG_08626	PH-1	GzZC109			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	aberrant	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1795	PHI:1795	Uniprot	I1RSX8	FGSG_07265	PH-1	GzZC110			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1796	PHI:1796	Uniprot	I1RSR7	FGSG_07198	PH-1	GzZC111			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1797	PHI:1797	Uniprot	I1RSR1	FGSG_07192	PH-1	GzZC112			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1798	PHI:1798	Uniprot	I1RSP9	FGSG_07177	PH-1	GzZC113			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1799	PHI:1799	Uniprot	I1RBN6	FGSG_00967	PH-1	GzZC114			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1800	PHI:1800	Uniprot	I1RE61	FGSG_01936	PH-1	GzZC115			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1801	PHI:1801	Uniprot	I1RVB5	FGSG_08182	PH-1	GzZC116			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Reduced virulence					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1802	PHI:1802	Uniprot	I1RVB2	FGSG_08179	PH-1	GzZC117			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1803	PHI:1803	Uniprot	I1RUX9	FGSG_08038	PH-1	GzZC118			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1804	PHI:1804	Uniprot	I1RUX5	FGSG_08034	PH-1	GzZC119			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1805	PHI:1805	Uniprot	I1RUX0	FGSG_08028	PH-1	GzZC120			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Reduced virulence					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1806	PHI:1806	Uniprot	I1RUM8	FGSG_07927	PH-1	GzZC121			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1807	PHI:1807	Uniprot	I1RUM5	FGSG_07924	PH-1	GzZC122			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1808	PHI:1808	Uniprot	I1RF14	FGSG_02277	PH-1	GzZC123			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1809	PHI:1809	Uniprot	I1REW1	FGSG_02215	PH-1	GzZC124			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1810	PHI:1810	Uniprot	I1RUJ0	FGSG_07884	PH-1	GzZC125			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1811	PHI:1811	Uniprot	I1RUD7	FGSG_07827	PH-1	GzZC126			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1812	PHI:1812	Uniprot	I1RV71	FGSG_08135	PH-1	GzZC127			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1813	PHI:1813	Uniprot	I1RV20	FGSG_08080	PH-1	GzZC128			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1814	PHI:1814	Uniprot	I1RV04	FGSG_08064	PH-1	GzZC129			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1815	PHI:1815	Uniprot	I1RL60	FGSG_04643	PH-1	GzZC130			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1816	PHI:1816	Uniprot	I1RRS3	FGSG_06810	PH-1	GzZC131			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1817	PHI:1817	Uniprot	I1RL07	FGSG_04581	PH-1	ZEAR			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1818	PHI:1818	Uniprot	I1S7V2	FGSG_12927	PH-1	GzZC133			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1819	PHI:1819	Uniprot	I1S7J0	FGSG_12813	PH-1	GzZC134			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1820	PHI:1820	Uniprot	I1S8F7	FGSG_13135	PH-1	GzZC135			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1821	PHI:1821	Uniprot	I1RWY8	FGSG_08828	PH-1	GzZC136			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1822	PHI:1822	Uniprot	I1S1D3	FGSG_10533	PH-1	GzZC137			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1823	PHI:1823	Uniprot	I1RXK4	FGSG_09075	PH-1	GzZC138			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1824	PHI:1824	Uniprot	I1RYC6	FGSG_09371	PH-1	GzZC139			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1825	PHI:1825	Uniprot	I1RY88	FGSG_09328	PH-1	GzZC140			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1826	PHI:1826	Uniprot	I1S2I6	FGSG_10980	PH-1	GzZC141			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1827	PHI:1827	Uniprot	I1S2W8	FGSG_11124	PH-1	GzZC142			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1828	PHI:1828	Uniprot	I1S351	FGSG_11216	PH-1	GzZC143			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1829	PHI:1829	NULL	FGSG_10627	FGSG_10627	PH-1	GzZC144			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
